YEAR,ID,ARCHITECTURE,TECHNOLOGY,VENUE,ENOB,FS_HZ,P_W,P_W_PRED,AREA_MM2,AREA_UM2_PRED,FOMW_DERIVED_FJ,FOMA_DERIVED_UM2
2008,12.3,Two-Step,0.09,ISSCC,6.352159468438539,150000000.0,0.0001335,0.00024508221230449867,0.0625,4357.017107635533,10.894303486548829,114.7574103217924
2008,12.4,SAR,0.065,ISSCC,8.74418604651163,1000000.0,1.9e-06,8.576148320411585e-06,0.0275,3430459.3281646343,4.430893517729682,0.06413135354608751
2008,12.5,SAR,0.18,ISSCC,9.3421926910299,100000.0,3.6e-06,1.2981061902591676e-06,0.24,51924247.61036671,55.46541611177831,0.036976944074518875
2008,12.6,Pipe,0.18,ISSCC,11.700996677740864,100000000.0,0.23,0.0066585700779858165,7.28,266342.80311943265,690.8390159034681,218.66556677292382
2008,12.7,Pipe,0.065,ISSCC,9.508305647840533,100000000.0,0.0045,0.0014565158116507586,0.07,58260.632466030336,61.791296242776454,9.611979415543004
2008,12.8,Folding,0.09,ISSCC,4.28405315614618,1750000000.0,0.0022,0.0006818620932196712,0.0165,89.05953870624278,64.52917743562669,1482.1545442245508
2008,30.1,Pipe,0.18,ISSCC,10.45514950166113,20000000.0,0.0087,0.000561530823465656,2.3,561530.8234656559,309.86722852737944,32.7675689936999
2008,30.2,"SAR, TI",0.13,ISSCC,5.023255813953488,1250000000.0,0.032,0.0008130002601548415,0.09,208.12806659963945,787.2076201772771,3459.4084871071746
2008,30.3,"SAR, TI",0.09,ISSCC,3.5000000000000004,24000000000.0,1.2,0.005430580079512687,16.0,3.7712361663282548,4419.417382415921,33941125.49695427
2008,30.4,Pipe,0.065,ISSCC,9.657807308970101,200000000.0,0.18,0.0032310946758235624,1.1,32310.946758235623,1114.1734802563187,272.353517395989
2008,30.7,Two-Step,0.09,ISSCC,6.086378737541529,300000000.0,0.034,0.00040769352624415414,0.29,1811.9712277517963,1667.9195430559048,1280.3735315811502
2008,30.8,Flash,0.18,ISSCC,5.023255813953488,400000.0,1.66e-06,2.601600832495493e-07,2.0,650400.2081238732,127.61373530217577,24.60023813053991
2009,4.2,"SAR, TI",0.045,ISSCC,5.355481727574752,2200000000.0,0.05,0.0018014131044713263,1.0,148.87711607201044,555.1197543294642,53735.592219092134
2009,4.3,"Folding, TI",0.18,ISSCC,9.093023255813954,995540000.0,1.2,0.010873302269450656,17.5,4388.377947210606,2207.24113109867,31902.448167434733
2009,4.4,Binary Search,0.065,ISSCC,4.192691029900332,800000000.0,0.00197,0.0002925807475499441,0.18,182.86296721871508,134.66367944553267,7874.749173667698
2009,4.5,"SAR, TI",0.13,ISSCC,6.850498338870433,600000000.0,0.03,0.0013847989682477082,1.1,1538.6655202752315,433.27588607263755,5719.241696158814
2009,4.6,Pipe,0.09,ISSCC,8.511627906976745,500000000.0,0.055,0.0036496844058599015,0.49,5839.4950493758415,301.3959229553793,671.2909193097084
2009,4.7,Pipe,0.18,ISSCC,12.498338870431894,125000000.0,0.385,0.014464882315937297,10.0,370300.9872879948,532.3237225038602,216.0404717953978
2009,9.1,Pipe,0.09,ISSCC,11.136212624584717,100000000.0,0.13,0.004501570268325931,4.0,180062.81073303721,577.5762334077488,177.71576412546116
2009,9.2,Pipe,0.18,ISSCC,9.375415282392028,50000000.0,0.0099,0.0006641730078762722,1.4,106267.68126020355,298.11509599451404,105.39422585664637
2009,9.3,"Pipe, ZCBC",0.09,ISSCC,10.006644518272426,50000000.0,0.0045,0.0010287270413491256,0.3,164596.32661586007,87.48676410991332,14.581127351652222
2009,9.4,"Two-Step, TDC",0.09,ISSCC,7.913621262458473,600000.0,1.4e-05,2.8934675781276676e-06,0.06,3214963.9756974084,96.7697036305432,0.14930182845855236
2009,21.7,"Flash, TI",0.065,ISSCC,4.956810631229236,10300000000.0,0.39,0.006397582620162755,,24.121340824442473,1219.2105148306107,
2010,16.1,Pipe,0.18 BiCMOS,ISSCC,12.581395348837209,250000000.0,0.85,0.030644136744678304,50.0,196122.47516594114,554.7553889881476,2039.5418712799544
2010,16.2,Pipe,0.18 BiCMOS,ISSCC,12.199335548172758,160000000.0,1.62,0.015049286339138481,4.0,235145.09904903875,2152.9260105668764,136.0861873345976
2010,16.3,"Pipe, Folding, TI",0.04,ISSCC,4.8737541528239205,2200000000.0,0.0026,0.0012900272016586425,0.03,106.61381831889605,40.30922753655226,2251.1153224259187
2010,16.5,Pipe,0.09,ISSCC,8.661129568106313,100000000.0,0.0045000000000000005,0.0008096359653552319,0.0572,32385.438614209274,111.16106972905045,14.129807085559301
2010,16.6,"Pipe, ZCBC",0.18,ISSCC,11.252491694352159,10000000.0,0.0084,0.00048794123561490387,1.11,1951764.9424596154,344.3037557346148,4.549728200778839
2010,21.1,"Pipe, SAR",0.25,ISSCC,12.996677740863788,12500000.0,0.105,0.002043289261854644,4.5,5230820.510347889,1027.7546303423924,6.882285471042808
2010,21.2,SAR,0.13,ISSCC,10.852159468438538,45000000.0,0.00302,0.0016636732249796355,0.059,328626.80987252056,36.3052065111761,1.4362796516300544
2010,21.3,"Pipe, SAR",0.065,ISSCC,8.428571428571429,40000000.0,0.00121,0.0002756403594511066,0.0585,68910.08986277664,87.7955610281107,6.791458274571209
2010,21.4,SAR,0.065,ISSCC,9.109634551495018,50000000.0,0.00082,0.0005524249048332371,0.039,88387.98477331792,29.687292981388556,3.5298915435187617
2010,21.5,SAR,0.065,ISSCC,9.00996677740864,100000000.0,0.00113,0.0010310987386928712,0.0256,41243.94954771485,21.918366449221075,4.965576823894333
2010,21.6,SAR,0.09,ISSCC,7.747508305647841,10240000.0,6.9e-05,4.4011112225301876e-05,0.07,167889.06946297406,31.355717459161177,3.3355357903362575
2010,21.7,"SAR, TI",0.065,ISSCC,3.9,40000000000.0,1.5,0.011942822291671136,16.0,2.9857055729177837,2511.9690528194374,42870938.50145172
2011,10.1,"SAR, TI",0.065,ISSCC,7.764119601328905,2600000000.0,0.48,0.011304106319236552,5.1,668.8820307240563,849.2489126418935,60997.303150504005
2011,10.2,"Pipe, TI",0.18 BiCMOS,ISSCC,9.508305647840533,1000000000.0,0.575,0.014565158116507586,2.35,5826.063246603034,789.5554519910322,3226.878803789437
2011,10.3,"Pipe, TI",0.04,ISSCC,9.508305647840533,800000000.0,0.105,0.011652126493206068,0.88,7282.579058253792,180.2246140414313,966.6905012203249
2011,10.4,Pipe,0.18,ISSCC,12.16611295681063,80000000.0,0.1,0.0073533445066837335,9.9,459584.03166773333,271.9850808271154,172.3297472120603
2011,10.5,SAR,0.065,ISSCC,6.418604651162791,400000000.0,0.004,0.0006843566903101598,0.024,1710.8917257753994,116.89810464736291,112.22218046146841
2011,10.6,SAR,0.065,ISSCC,8.843853820598008,20000.0,2.06e-07,1.8379143497915915e-07,0.212,183791434.97915912,22.416713817307013,0.009227851124794344
2012,19.3,"Flash, TI",0.04,ISSCC,4.0,25000000000.0,0.5,0.008,,5.12,1250.0,
