rram_preset,xbar_size,adc_choice,dac_num,xbar_polarity,sub_position,group_num,pe_num,tile_connection,inter_tile_bw,run_accuracy,enable_saf,enable_variation,enable_rratio,fixed_qrange,accuracy_target,latency_ns,energy_nj,area_um2,power_w,accuracy,run_id,trial_dir,algo,seed,eval_index,phase,elapsed_s,is_pareto,nn,dataset_module,weights_path,base_config_path,device,space_profile,dataset_signature
P1,512x512,6,32,2,0,1,2x2,2,80,1,1,1,0,0,0.88,5997133.2533934815,5802139.1135352645,1005166571.3802105,57.43931540250036,0.9326171875,run_20260409_220350,matrixcsv_seed42,matrixcsv,42,5,matrix_B,159.11736297607422,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,mps,rram_v2,0c8d25acb84e
P1,512x512,6,32,2,1,1,2x2,2,80,1,1,1,0,0,0.88,5997133.2533934815,3193060.1506895665,1006013853.5562103,29.559223145690417,0.9365234375,run_20260409_220350,matrixcsv_seed42,matrixcsv,42,6,matrix_B,159.34929704666138,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,mps,rram_v2,0c8d25acb84e
P1,512x512,6,128,2,0,1,2x2,2,80,1,1,1,0,0,0.88,4761170.464182462,1912910.9359328174,1005056583.1245512,58.30707701478249,0.93359375,run_20260409_220350,matrixcsv_seed42,matrixcsv,42,7,matrix_B,155.60741710662842,1,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,mps,rram_v2,0c8d25acb84e
P1,512x512,6,128,2,1,1,2x2,2,80,1,1,1,0,0,0.88,4761170.464182462,1248300.8586948751,1005903865.3005512,30.12938593901255,0.9287109375,run_20260409_220350,matrixcsv_seed42,matrixcsv,42,8,matrix_B,155.43646383285522,1,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,mps,rram_v2,0c8d25acb84e
P2,128x128,6,32,2,0,1,2x2,2,80,1,1,1,0,0,0.88,4430024.989793121,17054874.0659343,3083014542.653233,838.9382624293112,0.921875,run_20260409_223257,matrixcsv_seed42,matrixcsv,42,1,matrix_B,503.07742071151733,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,mps,rram_v2,0c8d25acb84e
P2,128x128,6,32,2,1,1,2x2,2,80,1,1,1,0,0,0.88,4430024.989793121,9447367.799596138,3083014542.653233,428.90037651148873,0.92578125,run_20260409_223257,matrixcsv_seed42,matrixcsv,42,2,matrix_B,501.67359495162964,1,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,mps,rram_v2,0c8d25acb84e
P2,128x128,6,128,2,0,1,2x2,2,80,1,1,1,0,0,0.88,3884383.145814948,5735710.703200261,3083612557.758293,845.1078199484215,0.884765625,run_20260409_223257,matrixcsv_seed42,matrixcsv,42,3,matrix_B,510.5535089969635,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,mps,rram_v2,0c8d25acb84e
P2,128x128,6,128,2,1,1,2x2,2,80,1,1,1,0,0,0.88,3884383.145814948,3787740.2723677782,3083612557.758293,432.8685861873989,0.91796875,run_20260409_223257,matrixcsv_seed42,matrixcsv,42,4,matrix_B,510.23423886299133,1,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,mps,rram_v2,0c8d25acb84e
P2,512x512,6,32,2,0,1,2x2,2,80,1,1,1,0,0,0.88,5997133.2533934815,5802139.1135352645,1005166571.3802105,57.43931540250036,0.9111328125,run_20260409_223257,matrixcsv_seed42,matrixcsv,42,5,matrix_B,166.89487719535828,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,mps,rram_v2,0c8d25acb84e
P2,512x512,6,32,2,1,1,2x2,2,80,1,1,1,0,0,0.88,5997133.2533934815,3193060.1506895665,1006013853.5562103,29.559223145690417,0.9228515625,run_20260409_223257,matrixcsv_seed42,matrixcsv,42,6,matrix_B,166.20959210395813,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,mps,rram_v2,0c8d25acb84e
