算法,随机种子,评估序号,阶段,延迟_ns,能耗_nJ,面积_um2,功耗_W,精度,单次耗时_s,是否帕累托点,交叉阵列尺寸,ADC档位,DAC档位,PE阵列规模,Tile连接方式,片间带宽,片内带宽,附加JSON
random,44,90,random,9481943.453269904,1346785.8555783585,1618506497.4044669,60.85505088581681,,3.5737528800964355,0,512x512,7,1,4x4,2,40,1024,{}
random,44,91,random,16996764.146916218,3685364.1868471033,3595412402.489938,140.3868053611096,,4.162481307983398,0,512x512,6,2,8x8,3,80,512,{}
random,44,92,random,16890856.1469161,3685364.1868471033,3595412402.489938,140.3868053611096,,4.050505876541138,0,512x512,6,2,8x8,2,80,512,{}
random,44,93,random,13216894.720649805,2400734.453594594,2974391759.1619387,25.415368785109585,,4.059384822845459,0,512x512,8,4,8x8,0,20,512,{}
random,44,94,random,9811590.23405551,2600318.562101825,1976294790.766151,358.2156558366524,,4.942152261734009,0,256x256,4,3,4x4,3,40,512,{}
random,44,95,random,11888601.036759833,1571566.8950965866,1633939414.3964672,99.34554848581679,,3.4027678966522217,0,512x512,4,2,4x4,3,10,512,{}
random,44,96,random,9816209.191086762,2609586.549557825,1976477013.614151,362.2763982366523,,4.348330974578857,0,256x256,4,4,4x4,3,40,1024,{}
random,44,97,random,8051995.68432168,854736.3839433766,1522538880.3804672,15.662825893816803,,3.280125856399536,0,512x512,8,3,4x4,2,20,2048,{}
random,44,98,random,17167409.30951702,3506169.0367705817,3192577487.1619377,145.5344309611096,,4.3323259353637695,0,512x512,4,4,8x8,0,20,2048,{}
random,44,99,random,3419477.4963068664,2225907.0456319433,2219348231.9287505,347.1560711938272,,5.35378623008728,0,256x256,6,1,2x2,1,40,1024,{}
random,44,100,random,8506505.12679273,856504.7408604466,1522443009.404467,13.678693093816806,,3.876284122467041,0,512x512,8,1,4x4,0,10,512,{}
